BodyId,Type,WaterMass,SurfaceBefore,SurfaceAfter,Iterations,Residual,MaxLocalError,InputRevision,OutputRevision
ec93125c7f73b905,lake,94543,-6.427150386,-6.427147407,64,0.000000000,0.000002980,1,2
ec9a545f5df8727d,wetland,4992,-17.884833941,-17.884833941,1,0.000000000,0.000000000,1,1
eca758a8bf4403a7,wetland,4992,62.362917095,62.362917095,1,0.000000000,0.000000000,1,1
eccd041b3619ee37,lake,55998,-6.626546710,-6.626532940,64,0.000000000,0.000013770,1,2
eccfe53e777d5a10,wetland,4992,-5.968697391,-5.968697391,1,0.000000000,0.000000000,1,1
ecde69416d1f8e25,lake,76819,-6.063285060,-6.063273991,64,0.000000000,0.000011069,1,2
ece07c6903385334,river,11623,-5.425947316,-5.425950209,1,0.000000000,0.000002893,1,2
ece978b31f9c343d,mixed,51952,-8.301938760,-8.301932052,1,0.534026306,0.000015064,1,2
ecf3086b3dc2376a,wetland,9984,-7.020441734,-7.020441734,1,0.028153561,0.155000000,1,2
ecf7106a82a9e78b,lake,178675,-7.405593335,-7.405589012,64,0.000012464,0.000018947,1,2
ed087590b9af8779,mixed,661892,50.530439335,50.530440042,1,2.307121418,3.471200101,1,2
ed0908febb71a99d,lake,60695,-6.675527547,-6.675517738,64,0.000000000,0.000009809,1,2
ed1418706dee4fb5,mixed,125429,-6.366167488,-6.366172113,1,0.819484087,1.100619165,1,2
ed153f4c717293fd,lake,13872,-6.531018206,-6.531003227,64,0.000000000,0.000014979,1,2
ed1b9500f5fb8dd3,wetland,4992,-4.863080382,-4.863080382,1,0.000000000,0.000000000,1,1
ed2aac71ed5fe40c,mixed,302858,-6.400919894,-6.400919843,1,1.598352959,1.728777675,1,2
ed343c2a0b85e739,lake,30176,-6.063285060,-6.063273108,64,0.000000000,0.000011951,1,2
ed3528759e1a6800,wetland,4992,-5.699959558,-5.699959558,1,0.000000000,0.000000000,1,1
ed364f51a19eac48,lake,16457,-6.427150386,-6.427137515,64,0.000000000,0.000012871,1,2
ed496ec1ddeab2a2,river,10897,-5.854558198,-5.854542206,1,0.000000000,0.000015992,1,2
ed633cc42f921175,wetland,4992,-5.285945148,-5.285945148,1,0.000000000,0.000000000,1,1
ed72543526f667ae,lake,6369,-8.835956710,-8.835965111,64,0.000000000,0.000008401,1,2
ed869a8166c6b250,wetland,4992,-4.793883996,-4.793883996,1,0.000000000,0.000000000,1,1
edb387f3f4ba177d,wetland,9984,-7.322869211,-7.322869211,1,0.435021951,0.155000000,1,2
edb41b61f67c39a1,wetland,9984,-4.614930584,-4.614930584,1,0.046139857,0.155000000,1,2
edb823613b63e9c2,lake,7055,-5.585144563,-5.585153285,64,0.000000000,0.000008721,1,2
edc11fab57c7cacb,mixed,84207,-6.753037916,-6.753036294,1,0.897434217,0.491304586,1,2
edc17888e89a296e,wetland,4992,13.791134513,13.791134513,1,0.000000000,0.000000000,1,1
edc332d2ede08fda,wetland,4992,71.651171825,71.651171825,1,0.000000000,0.000000000,1,1
edcf10404ba7dcbc,lake,49907,-6.626546710,-6.626558567,64,0.000000000,0.000011858,1,2
edd89ff869cddfe9,wetland,9984,-5.546044735,-5.546044735,1,0.646912644,0.155000000,1,2
eddf4e8d4690773d,wetland,1055,51.994759866,51.994768495,1,0.000000000,0.000008630,1,2
ede4d6461fceca49,wetland,4992,-5.738586133,-5.738586133,1,0.000000000,0.000000000,1,1
ede84ad762f45846,wetland,4992,-1.404047473,-1.404047473,1,0.000000000,0.000000000,1,1
edf2336d11ecba16,wetland,4992,-5.990153294,-5.990153294,1,0.000000000,0.000000000,1,1
edf9affd99f9f834,wetland,4992,49.165439090,49.165439090,1,0.000000000,0.000000000,1,1
ee0c3bffd483dc6a,river,12213,-6.640335424,-6.640319955,1,0.000000000,0.000015469,1,2
ee1a2c94c863ee5b,lake,57294,-8.209510220,-8.209527476,64,0.000000000,0.000017256,1,2
ee26f6508026fadf,river,22909,-7.277792409,-7.277788732,1,0.000000000,0.000003677,1,2
ee2ff29a9c8adbe8,mixed,82484,-6.902522041,-6.902518838,1,1.555171538,0.193984375,1,2
ee36484f2113d5be,wetland,4992,-5.194670712,-5.194670712,1,0.000000000,0.000000000,1,1
ee40c452d1ce59b2,lake,118531,-5.220974797,-5.220966203,64,0.000010571,0.000019166,1,2
ee5bb933ee613ba8,river,12271,-4.741626861,-4.741638860,1,0.000000000,0.000011999,1,2
ee6796a14c28888a,wetland,9984,-6.306360157,-6.306360157,1,1.251747606,0.155000000,1,2
ee7092eb688c6993,wetland,9984,47.984974542,47.984974542,1,0.920181651,0.155000000,1,2
ee75873640089a7b,wetland,4992,-6.228634405,-6.228634405,1,0.000000000,0.000000000,1,1
ee7a22a386b26cc0,wetland,14976,-7.483324513,-7.483324513,1,0.454364682,0.193984375,1,2
ee803dca61b2e1f0,lake,7640,-6.434334588,-6.434336604,64,0.000000000,0.000002016,1,2
ee91a2f098b881de,mixed,342512,62.375276605,62.375271234,1,1.753659857,2.841006764,1,2
ee935d3a9dfee84a,wetland,4992,-4.950111505,-4.950111505,1,0.000000000,0.000000000,1,1
ee97be1773b8f70e,mixed,160389,-7.176506207,-7.176502431,1,0.973845495,1.499329253,1,2
ee9b32a8b6de850b,wetland,4992,70.637504956,70.637504956,1,0.000000000,0.000000000,1,1
eea14dcf91defa3b,wetland,4992,-8.430267387,-8.430267387,1,0.000000000,0.000000000,1,1
eea42ef2d3426614,river,44159,25.270786306,25.270782006,1,4.924841890,0.000016423,1,2
eea8ca6019ec3859,wetland,4992,-8.479982165,-8.479982165,1,0.000000000,0.000000000,1,1
eeb7e1d111508e92,wetland,9984,-6.567570430,-6.567570430,1,0.308532401,0.155000000,1,2
eeb9f4f8a76953a1,river,11237,-5.123150711,-5.123169737,1,0.000000000,0.000019026,1,2
eec1ca66c048f062,wetland,9984,-6.721040829,-6.721040829,1,0.079860943,0.155000000,1,2
eeca6dd34bda72c8,wetland,9984,-8.230635685,-8.230635685,1,2.884597181,0.155000000,1,2
eed85e683fba84b9,wetland,9984,-5.625261765,-5.625261765,1,0.037144874,0.155000000,1,2
eed8f1d6417ca6dd,lake,131966,-9.871464161,-9.871476701,64,0.000000000,0.000012540,1,2
eee36dd9f2372ad1,wetland,4992,-6.864941493,-6.864941493,1,0.000000000,0.000000000,1,1
eeebd6b60cd8e9b6,lake,7493,-8.056956111,-8.056954552,64,0.000000000,0.000001559,1,2
eeec11467dc8ad37,river,36963,-6.973814675,-6.973820337,1,1.695812630,0.000010304,1,2
eef47a22986a6c1c,lake,112016,-6.409184403,-6.409193193,64,0.000009499,0.000018289,1,2
eef4d300293ccabf,wetland,4992,-5.837396369,-5.837396369,1,0.000000000,0.000000000,1,1
ef04b86f9353069d,lake,407369,-6.063285060,-6.063286689,64,0.000011123,0.000016999,1,2
ef0a40286c9159a9,wetland,4992,-5.150418054,-5.150418054,1,0.000000000,0.000000000,1,1
ef1215968570f66a,wetland,4992,-5.536893754,-5.536893754,1,0.000000000,0.000000000,1,1
ef293d0606a4ace5,wetland,4992,-6.316776761,-6.316776761,1,0.000000000,0.000000000,1,1
ef2e3150de20ddcd,mixed,180864,-6.495908593,-6.495910028,1,1.758532272,2.349937083,1,2
ef3aa22c3daa4cd3,mixed,309132,-6.630212497,-6.630219396,1,0.639267576,0.854258155,1,2
ef3f967715267dbb,wetland,4992,-6.246223804,-6.246223804,1,0.000000000,0.000000000,1,1
ef45b19df026f2eb,wetland,4992,-4.312297057,-4.312297057,1,0.000000000,0.000000000,1,1
ef4aa5e8c7a323d3,lake,21239,-6.716184526,-6.716178608,64,0.000000000,0.000005919,1,2
ef6ac9a2653abb57,river,10984,-5.413453016,-5.413436068,1,0.000000000,0.000016948,1,2
ef6b5d1066fcdd7b,mixed,159068,-5.588342432,-5.588334020,1,1.381924284,0.000018663,1,2
ef794da55adcef6c,mixed,51214,-7.681064729,-7.681065537,1,1.417617443,0.000011872,1,2
ef8249ef7740d075,river,19993,-5.441147132,-5.441140080,1,0.000000000,0.000007052,1,2
ef9b84868e8d4bff,wetland,14976,-6.302978033,-6.302978033,1,0.627284836,0.193984375,1,2
efa01ff3d5371e44,wetland,4992,-5.399880750,-5.399880750,1,0.000000000,0.000000000,1,1
efa359f4a76ce8c0,lake,140038,-8.675590306,-8.675590400,64,0.000009571,0.000009666,1,2
efa480d0aaf12d08,lake,21784,-5.622358423,-5.622377870,64,0.000000000,0.000019447,1,2
efa8e1ad80ab3bcc,lake,30996,-7.067341303,-7.067326246,64,0.000000000,0.000015056,1,2
efaa9bf785f1a238,river,22173,-7.405467081,-7.405463802,1,1.067111390,0.000016013,1,2
efb1851a0c3cbe32,wetland,4992,-5.772189088,-5.772189088,1,0.000000000,0.000000000,1,1
efcd0d66632a8371,lake,25838,-6.863219945,-6.863234111,64,0.000000000,0.000014165,1,2
efd2951f3c68d67d,wetland,4992,-5.886122770,-5.886122770,1,0.000000000,0.000000000,1,1
efd3288d3e2af8a1,mixed,164959,-8.269405985,-8.269406281,1,1.286777134,0.000017731,1,2
efd576427dcc4256,lake,39656,-6.863219945,-6.863229492,64,0.000000000,0.000009546,1,2
efd81cd815a72989,mixed,47376,-4.258046768,-4.258040171,1,0.321201070,0.000010229,1,2
efdda490eee57c95,wetland,4992,-5.050151111,-5.050151111,1,0.000000000,0.000000000,1,1
eff0c4012b3182ef,wetland,4992,55.505194557,55.505194557,1,0.000000000,0.000000000,1,1
effe5bb88e3f363d,lake,25260,-5.726403188,-5.726415682,64,0.000000000,0.000012495,1,2
f0096b2a40bbdc55,wetland,9984,-4.753439679,-4.753439679,1,0.877989919,0.155000000,1,2
