frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
101,144.0,free_fly,13.1013,0.0000,0.2996,0.7472,0.2939,0.0003,11.7374,0.0203,197,13553,0.0000,6.9435,0,1
102,148.0,free_fly,18.7737,0.0000,0.3218,0.7326,0.3637,0.0003,17.3317,0.0208,179,13551,16.8076,0.0000,95,1
103,152.0,free_fly,13.1158,0.0000,0.2958,0.7314,0.3019,0.0003,11.7553,0.0289,180,13549,0.0000,7.3271,0,1
104,156.0,free_fly,80.2263,0.0000,0.3335,0.8209,0.3717,0.0002,78.6758,0.0212,162,13549,77.7382,0.0000,118,1
105,160.0,free_fly,13.4584,0.0000,0.4221,0.7917,0.3787,0.0004,11.8221,0.0405,163,13549,0.0000,6.4157,0,1
106,164.0,free_fly,44.2645,0.0000,0.3311,1.0660,0.4208,0.0003,42.4212,0.0214,145,13549,41.7449,0.0000,93,1
107,168.0,free_fly,13.5097,0.0000,0.4116,0.7260,0.3196,0.0003,12.0189,0.0214,146,13549,0.0000,6.1881,0,1
108,172.0,free_fly,45.1345,0.0000,0.3688,0.7622,0.4003,0.0004,43.5792,0.0206,128,13549,42.9479,0.0000,99,1
109,176.0,free_fly,13.3387,0.0000,0.3440,0.7573,0.3171,0.0003,11.8968,0.0208,129,13549,0.0000,6.3027,0,1
110,180.0,free_fly,44.5219,0.0000,0.3382,0.7334,0.3816,0.0003,43.0452,0.0207,111,13549,42.2289,0.0000,95,1
111,184.0,free_fly,13.5760,0.0000,0.3650,0.7512,0.3859,0.0002,12.0466,0.0240,112,13549,0.0000,6.5291,0,1
112,188.0,free_fly,100.7997,0.0000,0.3689,0.8028,0.4820,0.0006,99.1063,0.0362,94,13549,97.0118,0.0000,118,1
113,192.0,free_fly,13.4135,0.0000,0.9630,0.7753,0.3897,0.0006,11.2431,0.0258,95,13549,0.0000,3.8951,0,1
114,192.0,free_fly,13.2328,0.0000,0.0000,0.0000,0.2915,0.0005,12.9165,0.0216,96,13549,0.0000,12.8693,0,1
115,192.0,free_fly,13.1908,0.0000,0.0000,0.0000,0.2853,0.0004,12.8905,0.0128,97,13549,0.0000,12.8499,0,1
116,192.0,free_fly,13.4815,0.0000,0.0000,0.0000,0.3680,0.0005,13.0921,0.0204,98,13549,0.0000,13.0516,0,1
117,192.0,free_fly,13.2164,0.0000,0.0000,0.0000,0.3969,0.0005,12.7776,0.0394,99,13549,0.0000,12.7278,0,1
118,192.0,free_fly,13.6681,0.0000,0.0000,0.0000,0.2892,0.0006,13.3536,0.0211,100,13549,0.0000,13.3068,0,1
119,192.0,free_fly,13.3706,0.0000,0.0000,0.0000,0.3463,0.0003,12.9846,0.0375,101,13549,0.0000,12.9349,0,1
120,192.0,free_fly,24.9072,0.0001,0.0000,0.0000,0.2897,0.0004,24.5936,0.0212,102,13549,0.0000,24.5465,0,1
121,192.0,free_fly,13.1764,0.0000,0.0000,0.0000,0.2843,0.0004,12.8701,0.0199,103,13549,0.0000,12.8273,0,1
122,192.0,free_fly,13.2042,0.0000,0.0000,0.0000,0.3551,0.0003,12.8243,0.0230,104,13549,0.0000,12.7808,0,1
123,192.0,free_fly,13.3894,0.0000,0.0000,0.0000,0.2799,0.0004,13.0882,0.0198,105,13549,0.0000,13.0460,0,1
124,192.0,free_fly,13.1665,0.0000,0.0000,0.0000,0.4054,0.0004,12.7216,0.0379,106,13549,0.0000,12.6721,0,1
125,192.0,free_fly,10.7267,0.0001,0.0000,0.0000,2.3889,0.0003,8.3146,0.0207,120,13549,0.0000,8.2585,0,14
126,192.0,free_fly,12.6000,0.0000,0.0000,0.0000,0.3553,0.0004,12.2254,0.0181,121,13549,0.0000,12.1845,0,1
127,192.0,free_fly,10.7972,0.0001,0.0000,0.0000,0.6181,0.0003,10.1387,0.0390,123,13549,0.0000,10.0872,0,2
128,192.0,free_fly,12.6856,0.0000,0.0000,0.0000,0.3527,0.0004,12.3115,0.0192,124,13549,0.0000,12.2671,0,1
129,192.0,free_fly,35.7113,0.0001,0.0000,0.0000,0.3748,0.0003,35.3073,0.0276,125,13549,0.0000,35.2301,0,1
130,192.0,free_fly,13.1106,0.0000,0.0000,0.0000,0.3223,0.0006,12.7542,0.0225,126,13549,0.0000,12.6998,0,1
131,192.0,free_fly,11.8393,0.0000,0.0000,0.0000,0.3022,0.0005,11.5128,0.0220,127,13549,0.0000,11.4645,0,1
132,192.0,free_fly,10.7928,0.0000,0.0000,0.0000,1.8124,0.0004,8.9577,0.0208,137,13549,0.0000,8.9044,0,10
133,192.0,free_fly,10.7436,0.0000,0.0000,0.0000,3.6453,0.0004,7.0754,0.0211,162,13549,0.0000,7.0143,0,25
134,192.0,free_fly,10.7774,0.0000,0.0000,0.0000,3.9126,0.0001,6.8429,0.0205,188,13549,0.0000,6.7819,0,26
135,192.0,free_fly,10.8165,0.0000,0.0000,0.0000,3.8283,0.0003,6.9666,0.0202,215,13549,0.0000,6.9095,0,27
136,192.0,free_fly,10.7383,0.0001,0.0000,0.0000,3.6579,0.0003,7.0582,0.0209,241,13549,0.0000,7.0004,0,26
137,192.0,free_fly,10.7306,0.0000,0.0000,0.0000,3.8654,0.0003,6.8435,0.0204,267,13549,0.0000,6.7852,0,26
138,192.0,free_fly,10.7851,0.0000,0.0000,0.0000,3.7999,0.0003,6.9637,0.0202,292,13549,0.0000,6.9053,0,25
139,192.0,free_fly,10.7918,0.0000,0.0000,0.0000,3.9462,0.0004,6.8239,0.0203,320,13549,0.0000,6.7700,0,28
140,192.0,free_fly,10.7496,0.0000,0.0000,0.0000,3.6095,0.0004,7.1187,0.0201,348,13549,0.0000,7.0610,0,28
141,192.0,free_fly,8.5029,0.0000,0.0000,0.0000,1.7247,0.0002,6.7652,0.0118,361,13549,0.0000,6.7282,0,13
142,192.0,free_fly,6.7008,0.0000,0.0000,0.0000,0.0000,0.0003,6.6797,0.0206,361,13549,0.0000,6.6552,0,0
143,192.0,free_fly,6.6399,0.0000,0.0000,0.0000,0.0000,0.0001,6.6267,0.0120,361,13549,0.0000,6.6029,0,0
144,192.0,free_fly,6.6365,0.0000,0.0000,0.0000,0.0000,0.0002,6.6240,0.0119,361,13549,0.0000,6.6018,0,0
145,192.0,free_fly,6.6135,0.0000,0.0000,0.0000,0.0000,0.0001,6.6015,0.0115,361,13549,0.0000,6.5798,0,0
146,192.0,free_fly,6.6965,0.0000,0.0000,0.0000,0.0000,0.0002,6.6749,0.0209,361,13549,0.0000,6.6510,0,0
147,192.0,free_fly,6.6485,0.0000,0.0000,0.0000,0.0000,0.0002,6.6252,0.0221,361,13549,0.0000,6.6004,0,0
148,192.0,free_fly,6.7109,0.0000,0.0000,0.0000,0.0000,0.0002,6.6890,0.0207,361,13549,0.0000,6.6633,0,0
149,192.0,free_fly,6.6953,0.0000,0.0000,0.0000,0.0000,0.0002,6.6720,0.0220,361,13549,0.0000,6.6469,0,0
150,192.0,free_fly,6.5841,0.0001,0.0000,0.0000,0.0000,0.0000,6.5711,0.0117,361,13549,0.0000,6.5476,0,0
151,192.0,free_fly,6.9326,0.0000,0.0000,0.0000,0.0000,0.0001,6.9112,0.0208,361,13549,0.0000,6.8862,0,0
152,192.0,free_fly,6.7891,0.0000,0.0000,0.0000,0.0000,0.0000,6.7753,0.0126,361,13549,0.0000,6.7512,0,0
153,192.0,free_fly,6.6753,0.0000,0.0000,0.0000,0.0000,0.0000,6.6628,0.0120,361,13549,0.0000,6.6409,0,0
154,192.0,free_fly,6.8085,0.0000,0.0000,0.0000,0.0000,0.0000,6.7956,0.0124,361,13549,0.0000,6.7735,0,0
155,192.0,free_fly,6.6408,0.0000,0.0000,0.0000,0.0000,0.0000,6.6177,0.0225,361,13549,0.0000,6.5944,0,0
156,192.0,free_fly,6.7615,0.0000,0.0000,0.0000,0.0000,0.0000,6.7367,0.0235,361,13549,0.0000,6.7097,0,0
157,192.0,free_fly,6.6794,0.0001,0.0000,0.0000,0.0000,0.0000,6.6663,0.0118,361,13549,0.0000,6.6424,0,0
158,192.0,free_fly,6.6526,0.0000,0.0000,0.0000,0.0000,0.0001,6.6402,0.0118,361,13549,0.0000,6.6179,0,0
159,192.0,free_fly,6.6497,0.0001,0.0000,0.0000,0.0000,0.0000,6.6273,0.0120,361,13549,0.0000,6.6057,0,0
160,192.0,free_fly,6.6252,0.0001,0.0000,0.0000,0.0000,0.0000,6.6080,0.0117,361,13549,0.0000,6.5864,0,0
161,192.0,free_fly,6.8901,0.0000,0.0000,0.0000,0.0000,0.0000,6.8644,0.0214,361,13549,0.0000,6.8387,0,0
162,192.0,free_fly,6.7120,0.0001,0.0000,0.0000,0.0000,0.0000,6.6984,0.0121,361,13549,0.0000,6.6745,0,0
163,192.0,free_fly,6.6866,0.0000,0.0000,0.0000,0.0000,0.0000,6.6635,0.0225,361,13549,0.0000,6.6401,0,0
164,192.0,free_fly,6.6043,0.0000,0.0000,0.0000,0.0000,0.0000,6.5915,0.0117,361,13549,0.0000,6.5680,0,0
165,192.0,free_fly,6.6312,0.0001,0.0000,0.0000,0.0000,0.0000,6.6189,0.0119,361,13549,0.0000,6.5973,0,0
166,192.0,free_fly,6.6431,0.0000,0.0000,0.0000,0.0000,0.0000,6.6310,0.0117,361,13549,0.0000,6.6097,0,0
167,192.0,free_fly,6.5909,0.0000,0.0000,0.0000,0.0000,0.0000,6.5791,0.0113,361,13549,0.0000,6.5575,0,0
168,192.0,free_fly,6.6599,0.0000,0.0000,0.0000,0.0000,0.0000,6.6383,0.0211,361,13549,0.0000,6.6145,0,0
169,192.0,free_fly,6.6323,0.0000,0.0000,0.0000,0.0000,0.0001,6.6189,0.0121,361,13549,0.0000,6.5952,0,0
170,192.0,free_fly,6.7196,0.0000,0.0000,0.0000,0.0000,0.0000,6.6980,0.0210,361,13549,0.0000,6.6740,0,0
171,192.0,free_fly,6.6497,0.0000,0.0000,0.0000,0.0000,0.0000,6.6363,0.0122,361,13549,0.0000,6.6129,0,0
172,192.0,free_fly,6.6090,0.0001,0.0000,0.0000,0.0000,0.0000,6.5972,0.0113,361,13549,0.0000,6.5756,0,0
173,192.0,free_fly,6.7031,0.0000,0.0000,0.0000,0.0000,0.0000,6.6825,0.0201,361,13549,0.0000,6.6593,0,0
174,192.0,free_fly,6.6302,0.0001,0.0000,0.0000,0.0000,0.0000,6.6166,0.0123,361,13549,0.0000,6.5932,0,0
175,192.0,free_fly,6.7496,0.0000,0.0000,0.0000,0.0000,0.0001,6.7237,0.0253,361,13549,0.0000,6.6951,0,0
