frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
153,192.0,free_fly,10.8933,0.0000,0.0000,0.0000,3.0047,0.0001,7.8429,0.0430,245,13549,0.0000,7.7577,0,14
154,192.0,free_fly,10.8848,0.0001,0.0000,0.0000,2.6451,0.0001,8.2122,0.0240,258,13549,0.0000,8.1377,0,13
155,192.0,free_fly,10.9191,0.0001,0.0000,0.0000,2.3957,0.0001,8.4982,0.0232,270,13549,0.0000,8.4351,0,12
156,192.0,free_fly,10.6983,0.0001,0.0000,0.0000,2.1208,0.0000,8.5573,0.0177,282,13549,0.0000,8.5001,0,12
157,192.0,free_fly,10.7406,0.0001,0.0000,0.0000,2.5892,0.0000,8.1254,0.0239,295,13549,0.0000,8.0513,0,13
158,192.0,free_fly,10.8409,0.0001,0.0000,0.0000,2.9391,0.0000,7.8750,0.0246,309,13549,0.0000,7.8055,0,14
159,192.0,free_fly,10.7045,0.0000,0.0000,0.0000,2.3431,0.0000,8.3355,0.0235,321,13549,0.0000,8.2734,0,12
160,192.0,free_fly,10.7221,0.0000,0.0000,0.0000,2.4600,0.0000,8.2378,0.0219,335,13549,0.0000,8.1788,0,14
161,192.0,free_fly,10.8219,0.0000,0.0000,0.0000,2.2033,0.0000,8.5946,0.0220,348,13549,0.0000,8.5384,0,13
162,192.0,free_fly,10.7594,0.0000,0.0000,0.0000,2.1527,0.0000,8.5825,0.0223,359,13549,0.0000,8.5130,0,11
163,192.0,free_fly,8.2503,0.0001,0.0000,0.0000,0.6815,0.0000,7.5400,0.0264,361,13549,0.0000,7.4868,0,2
164,192.0,free_fly,7.6434,0.0001,0.0000,0.0000,0.0000,0.0000,7.6188,0.0223,361,13549,0.0000,7.5887,0,0
165,192.0,free_fly,7.0772,0.0000,0.0000,0.0000,0.0000,0.0000,7.0574,0.0179,361,13549,0.0000,7.0259,0,0
166,192.0,free_fly,8.1840,0.0000,0.0000,0.0000,0.0000,0.0000,8.1584,0.0232,361,13549,0.0000,8.1294,0,0
167,192.0,free_fly,7.1696,0.0000,0.0000,0.0000,0.0000,0.0000,7.1462,0.0212,361,13549,0.0000,7.1147,0,0
168,192.0,free_fly,7.0668,0.0001,0.0000,0.0000,0.0000,0.0000,7.0419,0.0236,361,13549,0.0000,7.0150,0,0
169,192.0,free_fly,7.1747,0.0001,0.0000,0.0000,0.0000,0.0000,7.1514,0.0212,361,13549,0.0000,7.1217,0,0
170,192.0,free_fly,7.0402,0.0000,0.0000,0.0000,0.0000,0.0001,7.0161,0.0225,361,13549,0.0000,6.9881,0,0
171,192.0,free_fly,7.8564,0.0000,0.0000,0.0000,0.0000,0.0000,7.8115,0.0324,361,13549,0.0000,7.7612,0,0
172,192.0,free_fly,6.9593,0.0000,0.0000,0.0000,0.0000,0.0001,6.9200,0.0250,361,13549,0.0000,6.8889,0,0
173,192.0,free_fly,8.0370,0.0000,0.0000,0.0000,0.0000,0.0001,8.0055,0.0217,361,13549,0.0000,7.9725,0,0
174,192.0,free_fly,6.9121,0.0001,0.0000,0.0000,0.0000,0.0000,6.8934,0.0167,361,13549,0.0000,6.8588,0,0
