TransferId,EdgeId,Class,RequestedMass,AdmittedMass,SourceMassBefore,SourceMassAfter,DestinationMassBefore,DestinationMassAfter,InputSrcRev,InputDstRev,OutputSrcRev,OutputDstRev
2e6cfd2190d5919b,9472cc6d7e74c864,other_certified,4966,4966,4992,26,9984,14950,1,1,2,2
9c520c47b940b1f3,947fa6d9c5becc1b,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
408f4797f19f8f96,94c935542f8ecb8b,river_to_wetland,21945,21945,21971,26,62103,84048,1,1,2,2
93f08557eeec21c5,94d3f9a269abe725,other_certified,4966,4966,4992,26,5506,10472,1,1,2,2
422a8614f1008b9c,94e19f19b99b840d,mixed_downstream,57883,57883,102812,44929,42903,100786,1,1,2,2
1cdaabb593123fcb,94f133c17ca27b78,other_certified,23920,23920,23972,52,24059,47979,1,1,2,2
879b19084837d048,94f41daa5687256a,mixed_downstream,6358,6358,19942,13584,32684,39042,1,1,2,2
f96c0f4cebbaa404,951b9c009d692bd4,mixed_downstream,4966,4966,4992,26,5044,10010,1,1,2,2
58d6c35dfca6d144,952c926ce1305908,river_to_wetland,18181,18181,18207,26,338869,357050,1,1,2,2
7cd65ff967b09832,952fa291e1798d41,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
c7a8a345a555527a,95503da560c2b65f,other_certified,4966,4966,4992,26,80176,85142,1,1,2,2
7053b133dbc47a03,955971bee08adc5a,other_certified,3893,3893,35675,31782,17857,21750,1,1,2,2
3c0fec5509c75426,956811320a5b83fa,other_certified,6616,6616,11833,5217,97027,103643,1,1,2,2
4c9afc853b9de33b,95689c56991a5b87,mixed_downstream,4966,4966,4992,26,156,5122,1,1,2,2
b83493f0f0530a3f,95ad5d5922ab182a,other_certified,4966,4966,4992,26,51918,56884,1,1,2,2
d04e80f88abd866b,95b2fa7c5ed90caf,mixed_downstream,8571,8571,8597,26,55226,63797,1,1,2,2
6b5d73b941c38c89,95ba987cbdfea91b,other_certified,6670,6670,19916,13246,4992,11662,1,1,2,2
278819a519bb1634,95d6ddac7e9af5b6,other_certified,1,1,11319,11318,2469,2470,1,1,2,2
432281619851f23f,960daeac2f845762,other_certified,4966,4966,4992,26,9984,14950,1,1,2,2
a2714890f7ca63bc,9624db2b2fec38f5,other_certified,25748,25748,25774,26,25777,51525,1,1,2,2
6e18d73a2346089a,962e1fd85201e862,mixed_downstream,4966,4966,4992,26,16110,21076,1,1,2,2
848cd056c801b483,963a98bb0c428d54,other_certified,22065,22065,22091,26,11590,33655,1,1,2,2
5dd1081d38e6317a,963de4b51919406d,mixed_downstream,43056,43056,66379,23323,87085,130141,1,1,2,2
85e844137bb86ca9,964ed5e8303a6b00,other_certified,1,1,43688,43687,28445,28446,1,1,2,2
c8d90fd0aeec6b0c,965391fc7c7c68c2,mixed_downstream,20738,20738,20764,26,54965,75703,1,1,2,2
1e8701b6650e88f7,9659c3284ffabd58,other_certified,4966,4966,4992,26,52,5018,1,1,2,2
19878b07adf9b9a2,968dfde9616ca4a0,mixed_downstream,4966,4966,4992,26,100747,105713,1,1,2,2
8dc2eb2c1a3f41d4,9698e05f501a224a,mixed_downstream,6697,6697,6723,26,7636,14333,1,1,2,2
b7a1f2423e5523b1,96fa227ba90aad53,other_certified,9304,9304,9984,680,25907,35211,1,1,2,2
7408775e2fdf6782,96ff11aa6fd2a60e,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
050e9cf635ef60bf,9708d32e681007f8,other_certified,4966,4966,4992,26,14976,19942,1,1,2,2
e9f6b32986c26d3e,972445d80d66179d,mixed_downstream,18356,18356,18382,26,5316,23672,1,1,2,2
daf0d0106571ac6b,9744d3848ca2d641,other_certified,4966,4966,4992,26,89074,94040,1,1,2,2
dedbf6202dfffc98,97528b675eeff99c,mixed_downstream,61910,61910,160168,98258,777457,839367,1,1,2,2
83b67df6676adb3f,97759029738b554f,other_certified,19864,19864,19942,78,9984,29848,1,1,2,2
fdb70b5dfb7928df,977e131b3e95b446,other_certified,4966,4966,4992,26,100089,105055,1,1,2,2
c9ec3d8bd18a4aae,9785fc283f7b9b98,other_certified,11416,11416,11442,26,5957,17373,1,1,2,2
93a4e1be75b79b66,9795083270d32128,other_certified,9932,9932,9958,26,4992,14924,1,1,2,2
200d4a4eef6d617f,97ea54b98c7403ed,other_certified,12362,12362,12388,26,37179,49541,1,1,2,2
ad6e7a7212cef337,9810bf20ea757526,other_certified,4714,4714,9958,5244,15742,20456,1,1,2,2
ebc1844efaabc856,9817b56c4cd8f1a7,other_certified,19796,19796,35497,15701,11877,31673,1,1,2,2
c4679e1b10e922e2,9830f6dd3c23f84b,other_certified,4966,4966,4992,26,49701,54667,1,1,2,2
84d86054b032aaae,9831c5dba7aadc10,mixed_downstream,974,974,135514,134540,12728,13702,1,1,2,2
0000000000000000,983b3b6c713b5dc9,other_certified,0,0,22197,22197,3784,3784,1,1,1,1
a66bc7956f9189c4,9849d1b37b6060ce,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
2da7ca22650a74e0,984ce0a0e0fa2b76,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
838cff1357cd5c4d,987f4e70d75120b7,river_to_wetland,12906,12906,12932,26,1361807,1374713,1,1,2,2
24abc7d0b1d6c60a,9880868cce0bffdb,wetland_to_river,4966,4966,4992,26,10992,15958,1,1,2,2
1daab81577d3ecd8,98a6dcf8e2fa4ccf,other_certified,5152,5152,11963,6811,112500,117652,1,1,2,2
5f78102bf366967d,98ec5599a5c387a8,other_certified,455,455,18603,18148,18611,19066,1,1,2,2
b7c949b62a3db282,98ef7c22773d8100,other_certified,4966,4966,4992,26,4992,9958,1,1,2,2
a0d680d78ad145ff,991c134be7a15693,mixed_downstream,4966,4966,4992,26,9929,14895,1,1,2,2
88bab9fc2b7d83e9,9944ae989edccf60,mixed_downstream,30137,30137,172358,142221,12282,42419,1,1,2,2
7d03c6ab2238af4a,99536c3dcc88810f,river_to_wetland,21673,21673,21699,26,5454552,5476225,1,1,2,2
73181bb9c606615f,9972b09627e4df12,other_certified,11100,11100,11126,26,228959,240059,1,1,2,2
830a18c8cca87358,9983ea9e22e03595,mixed_downstream,62692,62692,64964,2272,31810,94502,1,1,2,2
7ef2bffa65f531a7,99a9c152db84c163,mixed_downstream,11814,11814,23124,11310,4992,16806,1,1,2,2
e3e6d6609d08b7fd,99aa25275af6c8b9,mixed_downstream,87541,87541,130346,42805,24416,111957,1,1,2,2
e0dd9333869e337f,99b1a0ac9f60343c,mixed_downstream,21205,21205,108619,87414,3771,24976,1,1,2,2
0000000000000000,99c2d18b472fd2af,wetland_to_river,0,0,4992,4992,33063,33063,1,1,1,1
9454d805151289d2,99e5e49b322b0acf,other_certified,9932,9932,9958,26,9984,19916,1,1,2,2
a18792cca590b104,99f0ee6f23504c64,mixed_downstream,563,563,4992,4429,45097,45660,1,1,2,2
d3bf84cb012bb8c3,99fdffaf94b03858,other_certified,14400,14400,14426,26,139222,153622,1,1,2,2
1f1448442c8cdc0e,9a2d7631036614c6,other_certified,19864,19864,19968,104,26,19890,1,1,2,2
2898bf26ea17a61d,9a4009c823e7a406,river_to_wetland,1836,1836,10929,9093,15950,17786,1,1,2,2
29d254507caf27cf,9a5c6b57842c536a,other_certified,11338,11338,11364,26,22736,34074,1,1,2,2
e4929b610e0e2b4c,9a5e962238d201b8,mixed_downstream,52493,52493,151410,98917,26,52519,1,1,2,2
9a33ff583e6ecc87,9a9f2a713b9c2c41,mixed_downstream,25986,25986,26012,26,6969,32955,1,1,2,2
e35adb16ef223a74,9ad032853df6b7b5,other_certified,1,1,1564,1563,88221,88222,1,1,2,2
71484b9d0b2b1d7b,9ad69a7b9380e88f,other_certified,4966,4966,4992,26,9984,14950,1,1,2,2
4a83677c46fe3ded,9af2a8a36be13196,mixed_downstream,148715,148715,512904,364189,393496,542211,1,1,2,2
9537fa269420b55b,9b0747628bf4ed88,mixed_downstream,1,1,41432,41431,68797,68798,1,1,2,2
ef85af5bad28ac4d,9b1151912512b94e,lake_to_river,64177,64177,118484,54307,261555,325732,1,1,2,2
4899cab5a88e4baf,9b3c0805dbdcd764,river_to_wetland,102348,102348,102504,156,142760,245108,1,1,2,2
32e66767a0725a46,9b3d92bf609b322d,other_certified,33114,33114,33140,26,11116,44230,1,1,2,2
e47b15480e6a2954,9b7bb916c146ee22,mixed_downstream,45657,45657,165481,119824,78567,124224,1,1,2,2
dd7387f0d0f92bd1,9b9e7c46c5b84084,mixed_downstream,21486,21486,21538,52,26,21512,1,1,2,2
d7c29873cfcda8f4,9bc81ad541128f3a,other_certified,4966,4966,4992,26,87767,92733,1,1,2,2
f0133c21c7aa208a,9c057e27c6141076,mixed_downstream,14898,14898,14976,78,24031,38929,1,1,2,2
da8ce9f178d82769,9c1c855c9b4fcb07,mixed_downstream,4966,4966,4992,26,29859,34825,1,1,2,2
b96de0a284704f86,9c27677c88ad57e2,mixed_downstream,445,445,4992,4547,27029,27474,1,1,2,2
0cb90625cb18185f,9c54337605ca4b7c,mixed_downstream,37091,37091,93452,56361,22909,60000,1,1,2,2
91d09ead601b9aa4,9c5db5e4f36fb306,mixed_downstream,4000,4000,4026,26,10069,14069,1,1,2,2
9cf08d5d5f62bcc3,9c686413a97c518e,river_to_wetland,78492,78492,78648,156,609369,687861,1,1,2,2
10a7525e7c7d6f20,9c8672e54d16fc76,mixed_downstream,32488,32488,32566,78,8400,40888,1,1,2,2
ecfa516c1c206476,9ca13de3627bcfaf,other_certified,3311,3311,134409,131098,61784,65095,1,1,2,2
d2b9ac75abac96e8,9ca9ee58c0d0216a,mixed_downstream,2168,2168,4992,2824,511746,513914,1,1,2,2
a1062bd0bc58826f,9caea329aeadd0b0,mixed_downstream,4966,4966,4992,26,463196,468162,1,1,2,2
