frame,distance_m,mode,cpu_ms,simulation_ms,residency_ms,generation_ms,hf_build_ms,hf_retire_ms,draw_ms,present_ms,resident_packages,resident_cells,far_field_ms,far_prefetch_ms,far_tiles_built,packages_built
138,192.0,free_fly,10.7523,0.0000,0.0000,0.0000,1.4459,0.0003,9.2839,0.0211,211,13549,0.0000,9.2243,0,7
139,192.0,free_fly,10.7992,0.0000,0.0000,0.0000,3.2611,0.0003,7.5157,0.0211,232,13549,0.0000,7.4539,0,21
140,192.0,free_fly,10.8349,0.0001,0.0000,0.0000,3.5852,0.0003,7.2267,0.0217,254,13549,0.0000,7.1659,0,22
141,192.0,free_fly,10.8025,0.0000,0.0000,0.0000,3.3153,0.0003,7.4651,0.0208,276,13549,0.0000,7.4107,0,22
142,192.0,free_fly,10.8163,0.0001,0.0000,0.0000,3.5136,0.0004,7.2811,0.0204,300,13549,0.0000,7.2276,0,24
143,192.0,free_fly,10.8111,0.0000,0.0000,0.0000,3.8127,0.0004,6.9765,0.0206,327,13549,0.0000,6.9220,0,27
144,192.0,free_fly,10.7566,0.0000,0.0000,0.0000,3.9136,0.0003,6.8215,0.0202,354,13549,0.0000,6.7582,0,27
145,192.0,free_fly,7.9989,0.0001,0.0000,0.0000,1.1518,0.0003,6.8263,0.0196,361,13549,0.0000,6.7833,0,7
146,192.0,free_fly,6.8028,0.0000,0.0000,0.0000,0.0000,0.0003,6.7897,0.0121,361,13549,0.0000,6.7633,0,0
147,192.0,free_fly,6.6980,0.0001,0.0000,0.0000,0.0000,0.0003,6.6769,0.0206,361,13549,0.0000,6.6519,0,0
148,192.0,free_fly,6.6632,0.0000,0.0000,0.0000,0.0000,0.0001,6.6499,0.0123,361,13549,0.0000,6.6247,0,0
149,192.0,free_fly,6.6766,0.0000,0.0000,0.0000,0.0000,0.0002,6.6538,0.0223,361,13549,0.0000,6.6290,0,0
150,192.0,free_fly,6.6539,0.0000,0.0000,0.0000,0.0000,0.0003,6.6315,0.0211,361,13549,0.0000,6.6050,0,0
151,192.0,free_fly,6.6956,0.0001,0.0000,0.0000,0.0000,0.0002,6.6720,0.0223,361,13549,0.0000,6.6455,0,0
152,192.0,free_fly,6.6125,0.0001,0.0000,0.0000,0.0000,0.0000,6.5994,0.0119,361,13549,0.0000,6.5750,0,0
153,192.0,free_fly,6.8571,0.0001,0.0000,0.0000,0.0000,0.0000,6.8348,0.0218,361,13549,0.0000,6.8088,0,0
154,192.0,free_fly,7.0280,0.0000,0.0000,0.0000,0.0000,0.0000,6.9965,0.0213,361,13549,0.0000,6.9679,0,0
155,192.0,free_fly,6.7480,0.0001,0.0000,0.0000,0.0000,0.0000,6.7187,0.0209,361,13549,0.0000,6.6922,0,0
156,192.0,free_fly,6.6929,0.0000,0.0000,0.0000,0.0000,0.0001,6.6692,0.0225,361,13549,0.0000,6.6432,0,0
157,192.0,free_fly,6.6208,0.0000,0.0000,0.0000,0.0000,0.0000,6.6078,0.0118,361,13549,0.0000,6.5833,0,0
158,192.0,free_fly,6.7704,0.0001,0.0000,0.0000,0.0000,0.0000,6.7474,0.0225,361,13549,0.0000,6.7218,0,0
159,192.0,free_fly,6.6687,0.0001,0.0000,0.0000,0.0000,0.0001,6.6556,0.0119,361,13549,0.0000,6.6309,0,0
160,192.0,free_fly,6.9320,0.0000,0.0000,0.0000,0.0000,0.0000,6.8090,0.1221,361,13549,0.0000,6.7803,0,0
161,192.0,free_fly,7.1531,0.0000,0.0000,0.0000,0.0000,0.0001,7.1350,0.0159,361,13549,0.0000,7.1023,0,0
162,192.0,free_fly,6.7630,0.0000,0.0000,0.0000,0.0000,0.0000,6.7416,0.0209,361,13549,0.0000,6.7166,0,0
163,192.0,free_fly,6.7856,0.0000,0.0000,0.0000,0.0000,0.0001,6.7628,0.0216,361,13549,0.0000,6.7350,0,0
164,192.0,free_fly,6.6610,0.0001,0.0000,0.0000,0.0000,0.0000,6.6481,0.0117,361,13549,0.0000,6.6232,0,0
165,192.0,free_fly,6.5837,0.0000,0.0000,0.0000,0.0000,0.0000,6.5626,0.0206,361,13549,0.0000,6.5378,0,0
166,192.0,free_fly,6.5402,0.0000,0.0000,0.0000,0.0000,0.0000,6.5275,0.0116,361,13549,0.0000,6.5037,0,0
167,192.0,free_fly,6.4729,0.0001,0.0000,0.0000,0.0000,0.0000,6.4507,0.0217,361,13549,0.0000,6.4239,0,0
168,192.0,free_fly,6.5890,0.0000,0.0000,0.0000,0.0000,0.0001,6.5672,0.0204,361,13549,0.0000,6.5415,0,0
169,192.0,free_fly,6.4292,0.0000,0.0000,0.0000,0.0000,0.0000,6.4168,0.0114,361,13549,0.0000,6.3932,0,0
170,192.0,free_fly,6.5796,0.0000,0.0000,0.0000,0.0000,0.0000,6.5581,0.0210,361,13549,0.0000,6.5334,0,0
171,192.0,free_fly,6.4904,0.0000,0.0000,0.0000,0.0000,0.0001,6.4777,0.0116,361,13549,0.0000,6.4536,0,0
172,192.0,free_fly,6.4865,0.0000,0.0000,0.0000,0.0000,0.0000,6.4639,0.0221,361,13549,0.0000,6.4400,0,0
173,192.0,free_fly,6.5837,0.0000,0.0000,0.0000,0.0000,0.0000,6.5614,0.0211,361,13549,0.0000,6.5356,0,0
174,192.0,free_fly,6.4605,0.0000,0.0000,0.0000,0.0000,0.0000,6.4466,0.0113,361,13549,0.0000,6.4208,0,0
