col,auth_near_deg,auth_32_50_deg,auth_50_80_deg,auth_80_128_deg,render_near_top_deg,render_far_bottom_deg,render_gap_deg,class
1040,-0.063,-2.070,-2.123,-0.062,-0.253,-99.000,0.000,no_far
1044,-0.071,-2.070,-2.137,-0.084,-0.253,-99.000,0.000,no_far
1048,-0.143,-2.069,-2.150,-0.162,-0.252,-99.000,0.000,no_far
1052,-0.206,-2.068,-2.155,-0.224,-0.251,-99.000,0.000,no_far
1056,-0.256,-2.068,-2.156,-0.262,-0.250,-99.000,0.000,no_far
1060,-0.304,-2.067,-2.157,-0.310,-0.250,-99.000,0.000,no_far
1064,-0.353,-2.066,-2.157,-0.369,-0.249,-99.000,0.000,no_far
1068,-0.453,-2.065,-2.158,-0.473,-0.248,-99.000,0.000,no_far
1072,-0.563,-2.064,-2.159,-0.557,-0.248,-99.000,0.000,no_far
1076,-0.622,-2.064,-2.160,-0.565,-0.247,-99.000,0.000,BASIN_A
1080,-0.666,-2.063,-2.160,-0.581,-0.246,-99.000,0.000,BASIN_A
1084,-0.626,-2.062,-2.161,-0.573,-0.246,-0.033,0.213,BASIN_A
1088,-0.592,-2.061,-2.162,-0.567,-0.245,-0.033,0.212,BASIN_A
1092,-0.587,-2.060,-2.162,-0.593,-0.244,-0.033,0.211,BASIN_A
1096,-0.602,-2.059,-2.163,-0.616,-0.244,-0.033,0.211,BASIN_A
1100,-0.657,-2.058,-2.164,-0.670,-0.243,-0.033,0.210,BASIN_A
1104,-0.704,-2.057,-2.164,-0.718,-0.242,-0.033,0.210,BASIN_A
1108,-0.740,-2.055,-2.165,-0.750,-0.242,-99.000,0.000,no_far
1112,-0.781,-2.054,-2.165,-0.790,-0.241,-99.000,0.000,no_far
1116,-0.831,-2.053,-2.166,-0.857,-0.240,-99.000,0.000,no_far
1120,-0.828,-2.052,-2.167,-0.929,-0.239,-99.000,0.000,no_far
1124,-0.826,-2.051,-2.167,-1.008,-0.239,-99.000,0.000,no_far
1128,-0.823,-2.049,-2.168,-1.070,-0.238,-99.000,0.000,no_far
1132,-0.820,-2.048,-2.168,-1.075,-0.237,-99.000,0.000,no_far
1136,-0.817,-2.047,-2.169,-1.069,-0.237,-99.000,0.000,no_far
1140,-0.814,-2.045,-2.169,-1.054,-0.236,-99.000,0.000,no_far
1144,-0.811,-2.044,-2.170,-1.038,-0.235,-99.000,0.000,no_far
1148,-0.815,-2.043,-2.170,-1.054,-0.235,-99.000,0.000,no_far
1152,-0.822,-2.041,-2.170,-1.072,-0.234,-99.000,0.000,no_far
1156,-0.830,-2.040,-2.171,-1.101,-0.233,-99.000,0.000,no_far
1160,-0.837,-2.039,-2.171,-1.130,-0.233,-99.000,0.000,no_far
1164,-0.844,-2.037,-2.172,-1.165,-0.232,-99.000,0.000,no_far
1168,-0.851,-2.036,-2.172,-1.203,-0.298,-99.000,0.000,no_far
1172,-0.858,-2.034,-2.173,-1.254,-0.297,-99.000,0.000,no_far
