frame,distance_m,cpu_ms,simulation_ms,residency_ms,generation_ms,live_ms,hf_retire_ms,far_field_ms,lookahead_ms,draw_ms,present_ms,pacing_ms,packages_built,far_tiles_built,resident_packages,resident_cells
84,512.0,0.4331,0.0000,0.0000,0.0000,0.0239,0.0000,0.0000,0.0000,0.4241,0.0088,0.0123,0,0,2601,13543
85,512.0,0.4754,0.0000,0.0000,0.0000,0.0262,0.0003,0.0000,0.0000,0.4546,0.0204,0.0119,0,0,2601,13543
86,512.0,0.8250,0.0001,0.0000,0.0000,0.0265,0.0003,0.0000,0.0000,0.4940,0.3294,0.0277,0,0,2601,13543
87,512.0,0.4644,0.0000,0.0000,0.0000,0.0255,0.0003,0.0000,0.0000,0.4338,0.0288,0.0235,0,0,2601,13543
88,512.0,0.4701,0.0001,0.0000,0.0000,0.0315,0.0003,0.0000,0.0000,0.4523,0.0164,0.0413,0,0,2601,13543
89,512.0,0.4448,0.0000,0.0000,0.0000,0.0270,0.0002,0.0000,0.0000,0.4352,0.0092,0.0151,0,0,2601,13543
90,512.0,0.4405,0.0000,0.0000,0.0000,0.0249,0.0002,0.0000,0.0000,0.4314,0.0088,0.0130,0,0,2601,13543
91,512.0,0.4490,0.0000,0.0000,0.0000,0.0257,0.0001,0.0000,0.0000,0.4399,0.0089,0.0125,0,0,2601,13543
92,512.0,0.4383,0.0000,0.0000,0.0000,0.0246,0.0001,0.0000,0.0000,0.4293,0.0087,0.0121,0,0,2601,13543
93,512.0,0.4438,0.0001,0.0000,0.0000,0.0255,0.0001,0.0000,0.0000,0.4346,0.0089,0.0782,0,0,2601,13543
94,512.0,0.4359,0.0000,0.0000,0.0000,0.0245,0.0001,0.0000,0.0000,0.4267,0.0088,0.0137,0,0,2601,13543
95,512.0,0.4665,0.0000,0.0000,0.0000,0.0245,0.0001,0.0000,0.0000,0.4472,0.0188,0.0122,0,0,2601,13543
96,512.0,0.4605,0.0000,0.0000,0.0000,0.0269,0.0003,0.0000,0.0000,0.4499,0.0091,0.0258,0,0,2601,13543
97,512.0,0.4308,0.0000,0.0000,0.0000,0.0246,0.0001,0.0000,0.0000,0.4216,0.0090,0.0139,0,0,2601,13543
98,512.0,0.4336,0.0001,0.0000,0.0000,0.0239,0.0002,0.0000,0.0000,0.4246,0.0087,0.0126,0,0,2601,13543
99,512.0,0.4445,0.0000,0.0000,0.0000,0.0241,0.0001,0.0000,0.0000,0.4352,0.0089,0.0126,0,0,2601,13543
100,512.0,0.4327,0.0000,0.0000,0.0000,0.0237,0.0001,0.0000,0.0000,0.4237,0.0088,0.0123,0,0,2601,13543
101,512.0,0.4359,0.0000,0.0000,0.0000,0.0237,0.0001,0.0000,0.0000,0.4267,0.0089,0.0121,0,0,2601,13543
102,512.0,0.4323,0.0000,0.0000,0.0000,0.0235,0.0001,0.0000,0.0000,0.4233,0.0088,0.0121,0,0,2601,13543
103,512.0,0.4322,0.0000,0.0000,0.0000,0.0237,0.0004,0.0000,0.0000,0.4195,0.0124,0.0120,0,0,2601,13543
104,512.0,0.4356,0.0000,0.0000,0.0000,0.0238,0.0001,0.0000,0.0000,0.4230,0.0124,0.0121,0,0,2601,13543
105,512.0,0.4317,0.0000,0.0000,0.0000,0.0235,0.0001,0.0000,0.0000,0.4192,0.0122,0.0121,0,0,2601,13543
106,512.0,0.4395,0.0000,0.0000,0.0000,0.0237,0.0002,0.0000,0.0000,0.4304,0.0089,0.0285,0,0,2601,13543
107,512.0,0.4324,0.0000,0.0000,0.0000,0.0236,0.0001,0.0000,0.0000,0.4233,0.0089,0.0122,0,0,2601,13543
108,512.0,0.4358,0.0000,0.0000,0.0000,0.0237,0.0001,0.0000,0.0000,0.4268,0.0087,0.0118,0,0,2601,13543
109,512.0,0.4324,0.0001,0.0000,0.0000,0.0236,0.0003,0.0000,0.0000,0.4199,0.0123,0.0122,0,0,2601,13543
110,512.0,0.4884,0.0001,0.0000,0.0000,0.0235,0.0002,0.0000,0.0000,0.4203,0.0678,0.0123,0,0,2601,13543
111,512.0,0.4373,0.0000,0.0000,0.0000,0.0237,0.0005,0.0000,0.0000,0.4278,0.0091,0.0130,0,0,2601,13543
112,512.0,0.4286,0.0000,0.0000,0.0000,0.0235,0.0001,0.0000,0.0000,0.4195,0.0088,0.0121,0,0,2601,13543
113,512.0,0.4317,0.0000,0.0000,0.0000,0.0235,0.0001,0.0000,0.0000,0.4226,0.0088,0.0121,0,0,2601,13543
114,512.0,0.4339,0.0000,0.0000,0.0000,0.0235,0.0001,0.0000,0.0000,0.4247,0.0088,0.0118,0,0,2601,13543
115,512.0,0.4317,0.0000,0.0000,0.0000,0.0235,0.0001,0.0000,0.0000,0.4226,0.0088,0.0119,0,0,2601,13543
116,512.0,0.4310,0.0000,0.0000,0.0000,0.0234,0.0001,0.0000,0.0000,0.4220,0.0088,0.0121,0,0,2601,13543
117,512.0,0.4314,0.0000,0.0000,0.0000,0.0235,0.0001,0.0000,0.0000,0.4223,0.0088,0.0120,0,0,2601,13543
118,512.0,0.4335,0.0000,0.0000,0.0000,0.0255,0.0001,0.0000,0.0000,0.4245,0.0087,0.0119,0,0,2601,13543
119,512.0,0.4326,0.0000,0.0000,0.0000,0.0235,0.0001,0.0000,0.0000,0.4235,0.0088,0.0209,0,0,2601,13543
120,512.0,0.4627,0.0000,0.0000,0.0000,0.0235,0.0001,0.0000,0.0000,0.4426,0.0197,0.0119,0,0,2601,13543
121,512.0,1.0026,0.0000,0.0000,0.0000,0.0376,0.0002,0.0000,0.0000,0.5780,0.4230,0.0547,0,0,2601,13543
122,512.0,0.4766,0.0000,0.0000,0.0000,0.0258,0.0004,0.0000,0.0000,0.4344,0.0408,0.0234,0,0,2601,13543
123,512.0,0.4855,0.0000,0.0000,0.0000,0.0241,0.0003,0.0000,0.0000,0.4254,0.0596,0.0153,0,0,2601,13543
124,512.0,0.4336,0.0000,0.0000,0.0000,0.0239,0.0000,0.0000,0.0000,0.4242,0.0091,0.0138,0,0,2601,13543
