phase,workload,frame,frame_ms,fps,x,y,cpu_ms,simulation_ms,residency_ms,generation_ms,mesh_ms,draw_ms,collision_ms,new_cells,resident_cells,evicted_cells,packages_built,packages_evicted,memory_bytes
clean_settled,settled,139,16.155800,61.897275,0.500000,0.500000,0.041000,0.002500,0.000000,0.000000,0.000000,0.007500,0.000400,0,12853,0,0,0,0
clean_settled,settled,140,30.887800,32.375242,0.500000,0.500000,0.070100,0.004800,0.000000,0.000000,0.000000,0.013500,0.000700,0,12853,0,0,0,0
clean_settled,settled,141,30.589400,32.691063,0.500000,0.500000,0.045400,0.002500,0.000000,0.000000,0.000000,0.007700,0.000400,0,12853,0,0,0,0
clean_settled,settled,142,30.735700,32.535456,0.500000,0.500000,0.035000,0.002300,0.000000,0.000000,0.000000,0.006300,0.000400,0,12853,0,0,0,0
clean_settled,settled,143,30.847100,32.417958,0.500000,0.500000,0.075100,0.004500,0.000000,0.000000,0.000000,0.015000,0.000700,0,12853,0,0,0,0
clean_settled,settled,144,31.113000,32.140906,0.500000,0.500000,0.052600,0.003300,0.000000,0.000000,0.000000,0.009600,0.000500,0,12853,0,0,0,0
clean_settled,settled,145,30.684900,32.589319,0.500000,0.500000,0.058500,0.002400,0.000000,0.000000,0.000000,0.007300,0.000400,0,12853,0,0,0,0
clean_settled,settled,146,32.029500,31.221218,0.500000,0.500000,0.103200,0.004700,0.000000,0.000000,0.000000,0.013800,0.000700,0,12853,0,0,0,0
clean_settled,settled,147,30.931200,32.329816,0.500000,0.500000,0.036900,0.002700,0.000000,0.000000,0.000000,0.007600,0.000500,0,12853,0,0,0,0
clean_settled,settled,148,31.365300,31.882367,0.500000,0.500000,0.050100,0.003200,0.000000,0.000000,0.000000,0.009500,0.000600,0,12853,0,0,0,0
clean_settled,settled,149,16.134700,61.978221,0.500000,0.500000,0.047000,0.003300,0.000000,0.000000,0.000000,0.009600,0.000600,0,12853,0,0,0,0
clean_settled,settled,150,30.824700,32.441516,0.500000,0.500000,0.062100,0.003300,0.000000,0.000000,0.000000,0.009600,0.000600,0,12853,0,0,0,106201088
clean_settled,settled,151,31.433100,31.813598,0.500000,0.500000,0.053200,0.003300,0.000000,0.000000,0.000000,0.010200,0.000500,0,12853,0,0,0,0
clean_settled,settled,152,31.273800,31.975647,0.500000,0.500000,0.048900,0.003300,0.000000,0.000000,0.000000,0.010000,0.000600,0,12853,0,0,0,0
clean_settled,settled,153,32.179900,31.075299,0.500000,0.500000,0.704700,0.004500,0.000000,0.000000,0.000000,0.006500,0.000800,0,12853,0,0,0,0
clean_settled,settled,154,29.820100,33.534428,0.500000,0.500000,0.038100,0.002400,0.000000,0.000000,0.000000,0.007300,0.000400,0,12853,0,0,0,0
clean_settled,settled,155,30.704200,32.568834,0.500000,0.500000,0.093800,0.002900,0.000000,0.000000,0.000000,0.008300,0.000600,0,12853,0,0,0,0
clean_settled,settled,156,16.075900,62.204915,0.500000,0.500000,0.077700,0.004500,0.000000,0.000000,0.000000,0.015400,0.000700,0,12853,0,0,0,0
clean_settled,settled,157,16.225100,61.632902,0.500000,0.500000,0.074100,0.005000,0.000000,0.000000,0.000000,0.012700,0.000800,0,12853,0,0,0,0
clean_settled,settled,158,30.901600,32.360784,0.500000,0.500000,0.050300,0.003400,0.000000,0.000000,0.000000,0.010100,0.000500,0,12853,0,0,0,0
clean_settled,settled,159,31.341600,31.906476,0.500000,0.500000,0.063000,0.003500,0.000000,0.000000,0.000000,0.009700,0.000500,0,12853,0,0,0,0
clean_settled,settled,160,31.115400,32.138427,0.500000,0.500000,0.088600,0.003200,0.000000,0.000000,0.000000,0.010000,0.000500,0,12853,0,0,0,0
clean_settled,settled,161,15.976800,62.590757,0.500000,0.500000,0.038600,0.002500,0.000000,0.000000,0.000000,0.007400,0.000300,0,12853,0,0,0,0
clean_settled,settled,162,31.043800,32.212551,0.500000,0.500000,0.073400,0.004500,0.000000,0.000000,0.000000,0.013400,0.000800,0,12853,0,0,0,0
clean_settled,settled,163,30.617300,32.661273,0.500000,0.500000,0.036800,0.002500,0.000000,0.000000,0.000000,0.007500,0.000400,0,12853,0,0,0,0
clean_settled,settled,164,30.961100,32.298594,0.500000,0.500000,0.046400,0.003000,0.000000,0.000000,0.000000,0.008100,0.000500,0,12853,0,0,0,0
clean_settled,settled,165,30.843900,32.421322,0.500000,0.500000,0.071300,0.004600,0.000000,0.000000,0.000000,0.013600,0.000800,0,12853,0,0,0,0
clean_settled,settled,166,30.772600,32.496442,0.500000,0.500000,0.073100,0.002400,0.000000,0.000000,0.000000,0.007600,0.000500,0,12853,0,0,0,0
clean_settled,settled,167,16.130300,61.995127,0.500000,0.500000,0.045900,0.003000,0.000000,0.000000,0.000000,0.008100,0.000500,0,12853,0,0,0,0
clean_settled,settled,168,16.008200,62.467985,0.500000,0.500000,0.089700,0.004200,0.000000,0.000000,0.000000,0.011300,0.000700,0,12853,0,0,0,0
clean_settled,settled,169,31.005500,32.252342,0.500000,0.500000,0.074900,0.004900,0.000000,0.000000,0.000000,0.014100,0.001100,0,12853,0,0,0,0
clean_settled,settled,170,31.023900,32.233214,0.500000,0.500000,0.051300,0.003700,0.000000,0.000000,0.000000,0.010600,0.000600,0,12853,0,0,0,0
