Path,Bytes,SHA256,GitCoverage,Disposition
"Code/Game/Provenance/Verification/GraniteLabContactTest.cpp","4843","7D0E011D31F596F0B6799C8FDFD4C9B994F6C6F4964043000E4224C1E7D87AD2","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteLabMovementTest.cpp","13706","E29207C6D12C7F0BCA65631BA87E7BBFA5E1956A6CCFC9E2C92D948C50C8B141","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteLocalUpdateTest.cpp","5992","92844A6F8E3BD18B07DC362F7855B9082503607B762D70C8F34DFCEF4100EB1A","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteOutcropShapeTool.cpp","7241","4CE55356451D14305E2DAD5512D686491478210787CF797CF59B36381EF57548","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteOutcropTest.cpp","5133","15A2E3F7DE19EF1CF25D0075A4B2549639D32EE8A8FF98E818DD3E2475214AEA","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteOutcropV2Test.cpp","12020","3430671AD14F15C38112908790CDEB01339C76D010B4CC74449A0C31BC42CBCE","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GraniteStructuralSupportTest.cpp","16477","FB80A77D0D7280C496C8256DE91D63770AF7B630733E996C33A50571A799BF51","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/GrassCoverTest.cpp","8672","631BB27C86AF526A2E7344C86136B34861C240D467E956E8057C013242BB629C","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/LOCAL_EXCAVATION_V1.md","11751","558671F30EC378E27243BE1A0DC08739164BC8F852F31B12296CAFF504B0C4C3","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/ProceduralRootUploadTest.cpp","1733","F251AE4D7D9A0D77FEA8533A8F347B735578438BA42F9F806F702FDEFFE2A86D","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/render_outcrop_shape.py","2037","7FFB3496D6A51D037B6CB0890109337511C26055B306C85A5A48246B9E8EAA0C","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/SoilScoopTest.cpp","24408","A44A5733C5571522E7875062A3C9CE021D2963EFBBDA69B9341864A127CC62D5","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/SurfaceAuthorityVerifier.cpp","15755","3367ABA96608418AC76CAB67FF99AECE4FD64367333D3A46FBCCB2893E2EA766","Untracked","Preserve: code or lab record"
"Code/Game/Provenance/Verification/SurfaceAuthorityVerifier.h","1544","6D1DE66B2A245E08B9635CE88691FD2F4D4B406C7DF30FB3ECAC8E9F1EE2E6CB","Untracked","Preserve: code or lab record"
"Data/Provenance/Materials/Granite/Granite.material","615","FBC7ED79A4F0B50C9DB2D5BE9ED701084191AF720DCDAC53BF4D2E2653222454","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Granite/GraniteAlbedo.texture","377","006D53A2E0BDEC204A79C282EC5BD2E13EBD7F4A4A8AE682C83341E58B588B6B","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Granite/GraniteNormal.texture","377","F60CC9D3BAC70C75C0581FCABCA4DC0B4F81EAA716F4CEFF0F9E9DD30E5633FC","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Granite/T_Granite_A_1K_RUNTIME.png","2566264","DC09D45986A5719BE57C53BD2EB4E2CE0A5E4B7035457AFBAB75170A2C5705F5","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Granite/T_Granite_A_2K_MASTER_SEAMLESS.png","9573112","64D491352DA023A82B9517F5E51342C89D44EE1FEB921BCB670B1C9389083AFF","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Granite/T_Granite_H_FROM_ALBEDO_2K_DEV.png","1392251","2FE43C9234B3452B4EA1D351DB7E71191B3F6E56DBC2CE71E3494AC6CCB36156","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Granite/T_Granite_N_1K_RUNTIME.png","1693121","EB15C9EF7A8F14E0D10F6F7E82B6F4533DFFE7C9594493B03E624FBB70D72DF3","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Granite/T_Granite_N_2K_MASTER.png","5156802","55ECCF73ADC3EC2B170335762D996688CB6CAEDB6F2E9A577A1F9748EC0A8E40","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/grass/grassalbedo.texture","367","141EC0E9B637B704177008F0112A978F2927F58A335E55432165C322ACD63CD9","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/grass/grassbladeatlasa.texture","371","E5294F3094887908BB6CC4879BA8174BE91E5F07A07FBF8F0954AE3A4F87E276","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/grass/grassbladeatlasb.texture","371","8B48EA205A7CAD450C01FB39E34D44B8627A139CADB8E96548D843B303C2ECEC","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/grass/grasscover.material","1230","4931A5EB38BFB31D6BFA4AB1204D763C7CD8B8FF095689F988EE79A8DABD7239","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/grass/grassnormal.texture","412","08226FE1AFB3D9CCE0FB11BF03B8C18B48BFD4F7202F094736BF6F433DBCFED8","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/grass/t_grass_a_2k_master_v006.png","8831228","693202DE92B1D44565486EE6D162DA8879D0A743DFAF1331B1956968CF19F90E","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/grass/t_grass_blade_atlas_a.png","2068375","D544235E83E44CC3632F542D90701D3E239C03AB8AC00C4083CE0174BE261603","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/grass/t_grass_blade_atlas_b.png","2429742","CD9942D7AE3AC004FC9ED3A77213112828D76C28E0F83A9F463FD4FDE6E87809","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/grass/t_grass_n_2k_v006.png","7289746","FAA5FFECEABE4C7AD50D4E584085A3771219C902EEBD919F70B3B2A633D1CF34","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Soil/Soil.material","596","62694F64D5B8BA6EECB4979C3888A193B03DD43602F105ED29CA13AE45FA3053","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Soil/soilalbedo.texture","362","D4D844D6DE4602AC14D483D084E713EB41FBC9298906E3103C32FE81AA7F6D2B","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Soil/soilnormal.texture","407","BE7BEF3F04AEA942EF48FDF4EBFF041922E6784B2A6A6EA1699B1092B787EEA0","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Soil/t_soil_a_2k_master.png","8340292","9BC2B61D458156AE3C32D596B9C49DA577A436751F96BAA281858F8456AA1FD6","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/Materials/Soil/t_soil_n_2k.png","8558615","B4331FC331369632EF5C7DCB354C69B1C430A209B19BF7E485FF02447D613298","Untracked","Preserve: asset or resource descriptor"
"Data/Provenance/ProvenanceSandbox.map","2738","0FDCE033952C087CD9F30C84B534DA10B513B878CAF6A62933219F6A5C0DA150","Untracked","Preserve: asset or resource descriptor"
