sample,region,movement_input,action_or_upload,frame_ms,walk_cpu_ms,upload_cpu_ms
541,creek,1,0,13.127000,0.050900,0.004700
542,creek,1,0,16.527001,0.036000,0.004300
543,creek,1,0,15.647000,0.041700,0.003600
544,creek,1,0,15.866000,0.040900,0.004400
545,creek,1,0,15.562001,0.037700,0.004000
546,creek,1,0,16.510999,0.036500,0.003700
547,creek,1,0,16.184999,0.037200,0.004100
548,creek,1,0,16.311999,0.035200,0.003700
549,creek,1,0,16.489999,0.035300,0.003600
550,creek,1,0,15.885001,0.037400,0.004000
551,creek,1,0,16.398001,0.033400,0.003400
552,creek,1,0,16.049000,0.034200,0.003400
553,creek,1,0,16.508000,0.032800,0.003500
554,creek,1,0,16.515000,0.034000,0.003600
555,creek,1,0,14.802000,0.041100,0.004300
556,creek,1,0,15.976001,0.047100,0.004800
557,creek,1,0,16.311999,0.037800,0.004600
558,creek,1,0,15.862001,0.037200,0.004300
559,creek,1,0,16.240999,0.035400,0.003800
560,creek,1,0,16.964002,0.035200,0.004000
561,creek,1,0,16.132001,0.037100,0.004000
562,creek,1,0,16.086999,0.039700,0.003500
563,creek,1,0,16.325001,0.041200,0.004200
564,creek,1,0,16.502000,0.040500,0.003800
565,creek,1,0,16.122999,0.039000,0.003600
566,creek,1,0,19.895000,0.038600,0.003600
567,creek,1,0,14.526000,0.047000,0.004400
568,creek,1,0,16.343001,0.041200,0.004100
569,creek,1,0,16.208000,0.071700,0.008400
570,creek,1,0,17.033001,0.038000,0.004100
571,creek,1,0,15.573000,0.051200,0.004300
572,creek,1,0,17.278999,0.035000,0.003500
573,creek,1,0,16.929001,0.046600,0.003100
574,creek,1,0,16.292000,0.036100,0.003300
575,creek,1,0,16.000999,0.034400,0.002800
